OBJECTID,KC_FAC_FID,KCPARKFID,SITENAME,SITETYPE,OWNER,OWNERTYPE,MANAGER,MANAGETYPE,MAINTD_BY,MAINTTYPE,SHAPE_Length,SHAPE_Area
41,2631,7202001,Enumclaw Sportsman Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,3849.9078034496,560194.322145987
42,5313,4220807,Overlook Park I,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,293.556213016805,3634.02334247498
43,2983,9230201,Middle Fork Snoqualmie Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,65700.3080532491,28378325.2283345
44,5314,4221702,South Marina Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,573.127919176048,18652.9858608688
45,15338,4232601,Tukwila Pond Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,4314.83680010487,1079677.15947311
46,2839,7212902,Hyde Lake Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,20137.6794736191,3570128.47141056
47,7594,4232004,Mathison Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1919.64234717787,205115.803896274
48,5035,5241304,Newport Way Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1405.41985032826,93329.4561139595
49,7578,12260801,Wild Sky Wilderness,Park Site,US Forest Service,Federal,US Forest Service,Federal,US Forest Service,Federal,188074.004980987,543398563.163169
50,6907,5252801,Bel-Red Mini Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,623.267538107283,14066.5100870884
51,2733,5263302,Spinney Homestead Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,2013.24323831848,234087.646453735
52,8042,4230404,Turning Basin Number 3,Park Site,Port of Seattle,Other Government,Port of Seattle,Other Government,Port of Seattle,Other Government,2316.47282266291,92059.6041229157
53,2350,5212904,Ballard Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,739.975463074273,27516.7154123133
54,6913,5240204,Robinsglen Nature Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,2203.48784695584,229672.839714639
55,2636,5260902,Brickyard Road Park,Park Site,City of Bothell,City,City of Bothell,City,City of Bothell,City,1991.41847311957,144356.10633319
56,5165,7242605,Autumn Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,561.063485135398,19374.324261234
57,7088,4263402,Mock Creek Ravine,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1078.60322726904,44038.8116330824
58,2616,5251001,Grass Lawn Community Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,4628.16658542308,1237973.30004213
59,7304,5222102,Wilson Playfields,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,3533.7881634818,459044.982898599
60,2416,3252502,Myrtle Edwards Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,6092.12472270849,506712.407595154
61,2326,5221901,Mill Creek Earthworks Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,26486.5304775972,4937662.05758471
62,2683,6233001,Maple Valley Heights Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3137.75701489744,434931.576519561
63,7080,4262003,Thornton Creek Park #1,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,4118.92133656245,340633.217469285
64,2617,5242401,Lakemont Park and Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,30847.7867579863,5391193.11336367
65,2709,5261501,Northshore Athletic Fields,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,4672.28367353915,831894.450840346
66,3076,3232401,Lake Burien School Memorial Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1850.63309342426,199940.23627592
67,7287,5222003,Morrill Meadows Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,3129.8503113498,582517.80405704
68,2359,5230801,Windsor Hills Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,2259.90329684398,220916.12771763
69,2366,4263401,Matthews Beach Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,5258.04092525418,955469.548141591
70,7299,4222412,Kiwanis Park #4,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1043.8023018749,29802.8926699632
71,2390,5211902,Les Gove Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,4418.09412407713,1148168.61529688
72,15337,4231505,Riverton Mini Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,569.541581219359,10457.4195939847
73,2650,5243301,May Creek Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,33955.9781413882,6460682.64893799
74,7094,4250903,Ravenna Woods,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,961.937470329451,50208.4866493766
75,2812,5250602,Heritage Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,3472.9460626761,435764.610979155
76,15353,6220201,Taylor Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3483.22369994402,244595.872665609
77,7237,4263201,Maple Leaf Community Garden,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,509.507817369742,15985.3883094522
78,2611,5252601,Crossroads Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,10038.6975111263,1670301.25980773
79,6923,7261801,Hix Park,Park Site,City of Duvall,City,City of Duvall,City,City of Duvall,City,536.82463527759,17130.942950782
80,15376,4251504,Union Bay Boglands,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1588.86964401459,59332.8437586033
81,2825,7230301,Instebo Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,889.382433630657,29288.2223054428
82,7206,3242503,E.C. Hughes Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2124.36621193487,276560.028599404
83,2290,4242301,Seward Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,15360.909137794,9207536.65958249
84,7240,4262810,Nathan Hale Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2147.02966799504,245898.420971997
85,5116,5243503,Ballybunion Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,847.977583606123,31357.6781773012
86,2343,5231301,Maplewood Heights Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3864.10741764963,834589.434750143
87,5302,3220702,Marjorie R. Stanley Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,5590.9672656137,765782.724733712
88,15395,3221702,Jenson Point Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1951.12407576808,179709.811346924
89,2583,5251503,North Bellevue Community Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3151.20717019114,341415.903499096
90,7830,7242507,Koinonia Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,616.726847279623,23327.8231781472
91,5105,4220603,Marvista Park,Park Site,City of Normandy Park,City,City of Normandy Park,City,City of Normandy Park,City,2108.70788958192,234846.431353913
92,2495,4231801,Chelsea Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1855.9813458971,160081.140556402
93,2704,5262003,Kingsgate Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,2263.2507537351,313704.507451604
94,2321,7251602,Hockert Park,Park Site,City of Carnation,City,City of Carnation,City,City of Carnation,City,464.505833527346,8533.27625062991
95,2363,5210601,Brannan Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,6597.78103368586,1200066.20545689
96,2832,5232001,Phillip Arnold Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,3231.31924222802,482906.354250625
97,15349,4213603,Sunset Park - Pacific,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,278.348381011298,4532.69018768651
98,7085,3263505,Blue Ridge Places,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,542.314544964671,8441.69798435069
99,2755,6212703,Flaming Geyser Park,Park Site,King County Parks and Recreation,King County Parks,Washington State Parks,State,Washington State Parks,State,9380.2180580878,4545089.02268538
100,7159,4253309,Nora's Woods,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,493.727959204772,15161.4419047743
101,15380,4211002,Lakeland North Urban Nature Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,4056.93373648542,958865.387729728
102,7955,6222603,Danville-Georgetown Open Space,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,38115.2346238719,14741940.3943119
103,2348,5223001,North Green River Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,32011.5690827144,5833421.02030084
104,4995,5231103,May Valley 164th Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2735.97002588424,159331.008635897
105,4286,6262201,Kathryn Taylor Equestrian Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,4735.17557806229,1130634.83083515
106,2503,4231201,Skyway Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,10151.7690271177,1233466.01297071
107,5120,3233102,Island Center Forest Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,13966.7277852042,4032725.24219415
108,7862,7230204,Echo Lake Interchange Site,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3296.71609050265,337475.920945812
109,2696,6220301,Lake Francis Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2594.12843303469,420598.277758516
110,2798,5233302,Boulevard Lane Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,6887.67106666945,1320139.36797898
111,7268,5250302,Willows Creek Neighborhood Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,1900.16604807524,202957.596562466
112,5043,5242307,Silverleaf Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,740.695471453354,35734.9999300921
113,6994,4253001,Bhy Kracke Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1170.5620674517,66607.6219482888
114,2446,3221401,Point Robinson Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,4668.15201644462,975820.180093138
115,7126,4252008,Terry Pettus Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,892.910828924379,37284.7341542069
116,7052,3241101,Seacrest Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,5440.39665655408,675860.794288038
117,7277,5262903,McAuliffe Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,5176.40053943278,511739.025559923
118,2821,7210801,Jellum Site,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,33099.4798413574,15652349.1339691
119,7086,3263506,Crown Hill Glen,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,519.240888032666,15706.5320519116
120,6918,4212903,Hylebos Blueberry Farm,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,2830.98790735279,444756.416777831
121,8212,6242806,Walen Hill Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,532.942808410853,15977.4147647334
122,7301,5221905,Kiwanis Park #3,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,537.813517882162,12793.9254134547
123,2663,6243601,West Tiger Mountain NRCA,Park Site,Washington State DNR,State,Washington State DNR,State,Washington State DNR,State,111922.400604559,158402134.939901
124,6917,4211601,Thompson Park - Federal Way,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1455.05831568325,115565.976778716
125,7002,4250501,Maple Leaf Reservoir Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,4223.26362318714,1084241.3848518
126,2779,5240202,Lake Hills Community Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,2857.00097210878,445990.308581004
127,7161,4253311,T.T. Minor Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,360.195556911403,7207.07509478577
128,2279,7252901,Carnation Marsh Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,21993.1646802029,8133283.81510533
129,2422,4211902,Panther Lake Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,7608.17975260136,2472784.26011789
130,5036,5241204,Norelius Property and 41.5 Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,2106.56580835067,230697.778557901
131,2295,4242001,Maplewood Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3676.80612787657,676565.015567441
132,2431,4210501,Sacajawea Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,4352.75437386176,813462.703786654
133,2563,4222302,Hogan Park at Russell Road,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,5186.47601837762,1701171.36504717
134,5044,5242203,Somerset East Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1876.91062447761,129765.785303337
135,2462,2222501,Inspiration Point,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,676.475165397076,26883.0513007104
136,7445,4241801,Harbor Marina Corporate Center at Terminal 102,Park Site,Port of Seattle,Other Government,Port of Seattle,Other Government,Port of Seattle,Other Government,4065.92133827835,103965.331246915
137,7216,4243507,Fletcher Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,210.295244286155,2715.84281299663
138,6959,4240505,Daejeon Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,5299.78202720555,263248.639231151
